comentario,tokens_limpios,features
"Buen producto, pero es mas cremoso que el ISDN así que tengo que echar mas producto para cubrir la cara. Pero es muy bueno recomendado","['buen', 'producto', 'mas', 'cremoso', 'isdn', 'así', 'echar', 'mas', 'producto', 'cubrir', 'cara', 'bueno', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"Es igual a la foto. Pero se siente que la cantidad no pueda durar mucho, ademas que al sacar el contenido sin cuidado esta puede derramarse.","['igual', 'foto', 'cantidad', 'pueda', 'durar', 'ademas', 'sacar', 'contenido', 'cuidado', 'puede', 'derramarse']",[0. 0. 0. ... 0. 0. 0.]
Es de buena calidad y llegó en el tiempo prometido,"['buena', 'calidad', 'llegó', 'tiempo', 'prometido']",[0. 0. 0. ... 0. 0. 0.]
"La verdad es que el producto es maravilloso y cumple todo lo que promete. Tiene muy buena cobertura, alta protección UVB y UVA, además de uña textura súper líquida. Lo único es que si te gusta esa sensación de toque seco, no lo cumple. Por lo menos en mi piel, que es muy grasa, quedaba un acabado más glow en la piel. Obviamente siempre va a depender de tus gustos, pero indudablemente es un muy buen producto 🫶🏼","['verdad', 'producto', 'maravilloso', 'cumple', 'promete', 'buena', 'cobertura', 'alta', 'protección', 'uvb', 'uva', 'además', 'uña', 'textura', 'súper', 'líquida', 'único', 'si', 'gusta', 'sensación', 'toque', 'seco', 'cumple', 'menos', 'piel', 'grasa', 'quedaba', 'acabado', 'glow', 'piel', 'obviamente', 'siempre', 'va', 'depender', 'gustos', 'indudablemente', 'buen', 'producto']",[0.         0.         0.         ... 0.         0.15270898 0.        ]
Se absorbe muy rápido y no te deja la piel grasosa,"['absorbe', 'rápido', 'deja', 'piel', 'grasosa']",[0. 0. 0. ... 0. 0. 0.]
"el tamaño corresponde, es igual a la foto y tiene una excelente absorción.","['tamaño', 'corresponde', 'igual', 'foto', 'excelente', 'absorción']",[0. 0. 0. ... 0. 0. 0.]
es el producto que pedi para mi salud cutanea,"['producto', 'pedi', 'salud', 'cutanea']",[0. 0. 0. ... 0. 0. 0.]
"Fue una buena experiencia, si. Embargo el producto me decepciono debido a que me salieron manchas de sol usando un producto que se supone que las evita y te proteje de ellas","['buena', 'experiencia', 'si', 'embargo', 'producto', 'decepciono', 'debido', 'salieron', 'manchas', 'sol', 'usando', 'producto', 'supone', 'evita', 'proteje']",[0. 0. 0. ... 0. 0. 0.]
El tamaño corresponder a lo indicado en la web y se encontró en perfecto estado. Me lo dieron al día siguiente mediante retiro en tienda.,"['tamaño', 'corresponder', 'indicado', 'web', 'encontró', 'perfecto', 'dieron', 'día', 'siguiente', 'mediante', 'retiro', 'tienda']",[0. 0. 0. ... 0. 0. 0.]
Es igual al de la foto y el producto es bueno,"['igual', 'foto', 'producto', 'bueno']",[0. 0. 0. ... 0. 0. 0.]
"Buena calidad, precio conveniente, lo uso diariamente","['buena', 'calidad', 'precio', 'conveniente', 'uso', 'diariamente']",[0. 0. 0. ... 0. 0. 0.]
Me gusto este bloqueador ya que soy de piel grasa y no me gusta que quedo brillosa la cara así que al momento de hecharme el producto al principio si se ve brilloso pero cuando se absorbe desaparece así que recomendado,"['gusto', 'bloqueador', 'piel', 'grasa', 'gusta', 'quedo', 'brillosa', 'cara', 'así', 'momento', 'hecharme', 'producto', 'principio', 'si', 've', 'brilloso', 'absorbe', 'desaparece', 'así', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"Ligero, buen producto! Mi protector facial favorito","['ligero', 'buen', 'producto', 'protector', 'facial', 'favorito']",[0. 0. 0. ... 0. 0. 0.]
Este bloqueador es de gran calidad y lo encontré con excelente precio,"['bloqueador', 'gran', 'calidad', 'encontré', 'excelente', 'precio']",[0. 0. 0. ... 0. 0. 0.]
El producto corresponde y es muy bueno,"['producto', 'corresponde', 'bueno']",[0. 0. 0. ... 0. 0. 0.]
Es súper práctico y sobretodo me protege,"['súper', 'práctico', 'sobretodo', 'protege']",[0. 0. 0. ... 0. 0. 0.]
Muy buena crema la ocupo hace mucho y no la cambio,"['buena', 'crema', 'ocupo', 'hace', 'cambio']",[0. 0. 0. ... 0. 0. 0.]
"igual a la foto, muy buen protector, no pegajoso. muy ligero.","['igual', 'foto', 'buen', 'protector', 'pegajoso', 'ligero']",[0. 0. 0. ... 0. 0. 0.]
"Es igual al de la foto, es de muy buena calidad y está muy recomendado por profesionales","['igual', 'foto', 'buena', 'calidad', 'recomendado', 'profesionales']",[0. 0. 0. ... 0. 0. 0.]
Es muy bueno lo recomiendo yo cuido mi piel todos los días con este fabuloso protector de La Roche,"['bueno', 'recomiendo', 'cuido', 'piel', 'días', 'fabuloso', 'protector', 'roche']",[0. 0. 0. ... 0. 0. 0.]
Un producto recomendado,"['producto', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"El producto es líquido, rápida absorción, no deja manchas Recién lo vengo usando así que próximamente comentaré acerca de su cobertura en protección solar.","['producto', 'líquido', 'rápida', 'absorción', 'deja', 'manchas', 'recién', 'vengo', 'usando', 'así', 'próximamente', 'comentaré', 'acerca', 'cobertura', 'protección', 'solar']",[0. 0. 0. ... 0. 0. 0.]
"Es igual al de la foto y funciona muy bien, no se siente pegajoso en la piel, muy recomendado","['igual', 'foto', 'funciona', 'bien', 'pegajoso', 'piel', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"Es igual a la foto, tamaño ideal para andar con el hasta en el bolsillo, es segunda vez que lo compro...me encanta me lo recomendó mi dermátologo, lo recomiendo 100% maravilloso","['igual', 'foto', 'tamaño', 'ideal', 'andar', 'bolsillo', 'segunda', 'vez', 'comprome', 'encanta', 'recomendó', 'dermátologo', 'recomiendo', 'maravilloso']",[0. 0. 0. ... 0. 0. 0.]
Tal cual como lo ofrecían,"['tal', 'ofrecían']",[0. 0. 0. ... 0. 0. 0.]
Precio y calidad lo justo.,"['precio', 'calidad', 'justo']",[0. 0. 0. ... 0. 0. 0.]
"Maravilloso, me lo recomendó mi dermatólogo, tamaño perfecto para andar con el, recomendable %","['maravilloso', 'recomendó', 'dermatólogo', 'tamaño', 'perfecto', 'andar', 'recomendable']",[0. 0. 0. ... 0. 0. 0.]
Un buen producto para el cuidado facial,"['buen', 'producto', 'cuidado', 'facial']",[0. 0. 0. ... 0. 0. 0.]
"He probado muchas marcas de protectores solares para esta le va perfecto a mi piel, estoy feliz con este producto","['probado', 'muchas', 'marcas', 'protectores', 'solares', 'va', 'perfecto', 'piel', 'feliz', 'producto']",[0. 0. 0. ... 0. 0. 0.]
"ES MUY BUEN PRODUCTO, ME ENCANTA EL ACABADO DESPUES DE LA APLICACION. TENGO LA PIEL GRASA Y ME AYUDA BASTANTE A CONTROLAR EL BRILLO APLICANDOLO ANTES DE MI MAQUILLAJE.","['buen', 'producto', 'encanta', 'acabado', 'despues', 'aplicacion', 'piel', 'grasa', 'ayuda', 'bastante', 'controlar', 'brillo', 'aplicandolo', 'maquillaje']",[0. 0. 0. ... 0. 0. 0.]
El tamaño y la calidad es la mejunje Mejor,"['tamaño', 'calidad', 'mejunje', 'mejor']",[0. 0. 0. ... 0. 0. 0.]
No deja grasosa la piel cuida muy bien la piel,"['deja', 'grasosa', 'piel', 'cuida', 'bien', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"El producto me encantó, es un bloqueador fácil de aplicar","['producto', 'encantó', 'bloqueador', 'fácil', 'aplicar']",[0. 0. 0. ... 0. 0. 0.]
"Nunca he usado este protector solar, pero vi reseñas y dicen que es muy bueno, así que a probar!","['nunca', 'usado', 'protector', 'solar', 'vi', 'reseñas', 'dicen', 'bueno', 'así', 'probar']",[0. 0. 0. ... 0. 0. 0.]
"Es buena calidad, pero el tamaño es más pequeño de lo que vi en la foto.","['buena', 'calidad', 'tamaño', 'pequeño', 'vi', 'foto']",[0. 0. 0. ... 0. 0. 0.]
"La roche posay protector solar el mejor de todos, e probado isdin pero me causa ardor de ojos cuando sudo en el gym.","['roche', 'posay', 'protector', 'solar', 'mejor', 'probado', 'isdin', 'causa', 'ardor', 'ojos', 'sudo', 'gym']",[0. 0. 0. ... 0. 0. 0.]
"Todo ok , despacho rápido, buen producto","['ok', 'despacho', 'rápido', 'buen', 'producto']",[0. 0. 0. ... 0. 0. 0.]
Excelente cubrimiento y protección,"['excelente', 'cubrimiento', 'protección']",[0. 0. 0. ... 0. 0. 0.]
es de buena calidad el tamaño es perfecto para la cartera,"['buena', 'calidad', 'tamaño', 'perfecto', 'cartera']",[0. 0. 0. ... 0. 0. 0.]
Rápido y el producto es de la roche en buen estado,"['rápido', 'producto', 'roche', 'buen']",[0. 0. 0. ... 0. 0. 0.]
Es el mejor protector mi. Dermatologo lo recomendo y tengo a uno de los mejores dermatologos de chile doctor cristian vera kellet.,"['mejor', 'protector', 'dermatologo', 'recomendo', 'mejores', 'dermatologos', 'chile', 'doctor', 'cristian', 'vera', 'kellet']",[0. 0. 0. ... 0. 0. 0.]
Un muy buen producto. Ultra ligero y super protector,"['buen', 'producto', 'ultra', 'ligero', 'super', 'protector']",[0. 0. 0. ... 0. 0. 0.]
"Muy buen producto me encanta porque no deja la piel grasienta y su textura ligera, además no se sale con el agua ni con el sudor lo recomiendo","['buen', 'producto', 'encanta', 'deja', 'piel', 'grasienta', 'textura', 'ligera', 'además', 'sale', 'agua', 'sudor', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"Su consistencia es un poco líquida pero se absorbe rápidamente, yo lo uso para surfiar y no se corre con el agua, además no queda la piel brillante así que lo recomiendo 100%","['consistencia', 'líquida', 'absorbe', 'rápidamente', 'uso', 'surfiar', 'corre', 'agua', 'además', 'queda', 'piel', 'brillante', 'así', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"Amé este bloqueador. No lo compraba por miedo a que el color sea muy claro para mi piel, pero al ser ultra ligero se funde perfectamente. Acabado súper natural, perfecto para cualquier tipo de piel. Lo recomiendo 100%","['amé', 'bloqueador', 'compraba', 'miedo', 'color', 'claro', 'piel', 'ser', 'ultra', 'ligero', 'funde', 'perfectamente', 'acabado', 'súper', 'natural', 'perfecto', 'cualquier', 'tipo', 'piel', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"Me encanta que sea transparente al momento de absorber, no deja marcas ni la cara blanca! Que siempre me pasaba con otros bloqueadores","['encanta', 'transparente', 'momento', 'absorber', 'deja', 'marcas', 'cara', 'blanca', 'siempre', 'pasaba', 'bloqueadores']",[0. 0. 0. ... 0. 0. 0.]
Me ayudó mucho a solucionar lo que necesitaba,"['ayudó', 'solucionar', 'necesitaba']",[0. 0. 0. ... 0. 0. 0.]
"He probado infinitos protectores y ninguno me gustaba. La textura de este se siente deliciosa, perfecto para el día a día","['probado', 'infinitos', 'protectores', 'ninguno', 'gustaba', 'textura', 'deliciosa', 'perfecto', 'día', 'día']",[0. 0. 0. ... 0. 0. 0.]
"Buenísimo producto, la textura que deja en la piel es muy agradable y no grasosa, 100% recomendable","['buenísimo', 'producto', 'textura', 'deja', 'piel', 'agradable', 'grasosa', 'recomendable']",[0. 0. 0. ... 0. 0. 0.]
"Me encanto el producto, un bloqueador muy suave, no deja pegajosa la cara.","['encanto', 'producto', 'bloqueador', 'suave', 'deja', 'pegajosa', 'cara']",[0. 0. 0. ... 0. 0. 0.]
Me encantó este protector solar! Fácil de aplicar y su textura es maravillosa! Me encanta su tamaño y su dosificador ! Lo recomiendo para pieles sensibles (yo use el sin color),"['encantó', 'protector', 'solar', 'fácil', 'aplicar', 'textura', 'maravillosa', 'encanta', 'tamaño', 'dosificador', 'recomiendo', 'pieles', 'sensibles', 'use', 'color']",[0. 0. 0. ... 0. 0. 0.]
"Textura maravillosa, acabado ultra natural, nunca me gustaron los bloqueadores! Pero este no lo dejo por nada, es un básico en toda mi rutina ❤️","['textura', 'maravillosa', 'acabado', 'ultra', 'natural', 'nunca', 'gustaron', 'bloqueadores', 'dejo', 'básico', 'toda', 'rutina']",[0. 0. 0. ... 0. 0. 0.]
"Para mi el mejor bloqueador, liviano, sin color y cero grasoso...lo ocupo todos los días del año! :)","['mejor', 'bloqueador', 'liviano', 'color', 'cero', 'grasosolo', 'ocupo', 'días', 'año']",[0. 0. 0. ... 0. 0. 0.]
"He usado el protector para hacer deportes con harta exposición al sol, tanto en la montaña como en el mar no he tenido problemas de quemaduras ni sequedades en la piel, así que 100% recomendadisimoo!","['usado', 'protector', 'hacer', 'deportes', 'harta', 'exposición', 'sol', 'montaña', 'mar', 'problemas', 'quemaduras', 'sequedades', 'piel', 'así', 'recomendadisimoo']",[0. 0. 0. ... 0. 0. 0.]
"De los mejores protectores que he probado, debido a su textura líquida nos queda una piel luminosa e hidratada 🥰, más allá de ello, debido a su fórmula 50+ nos protege de los UVA ultra largos que son los más dañinos, esto es una total innovación","['mejores', 'protectores', 'probado', 'debido', 'textura', 'líquida', 'queda', 'piel', 'luminosa', 'hidratada', 'allá', 'ello', 'debido', 'fórmula', 'protege', 'uva', 'ultra', 'largos', 'dañinos', 'total', 'innovación']",[0. 0. 0. ... 0. 0. 0.]
"Se adhiere muy bien a la piel, se seca rápido y es maravilloso para proteger el rostro de los rayos solares tan intensos 🙌🏻 1.000 recomendado 😍","['adhiere', 'bien', 'piel', 'seca', 'rápido', 'maravilloso', 'proteger', 'rostro', 'rayos', 'solares', 'tan', 'intensos', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"Producto 100% recomendado para todo tipo de actividades, principalmente al aire libre ya que es de tamaño pequeño, consistencia libera y no se sale con el sudor. Un maravilloso producto !","['producto', 'recomendado', 'tipo', 'actividades', 'principalmente', 'aire', 'libre', 'tamaño', 'pequeño', 'consistencia', 'libera', 'sale', 'sudor', 'maravilloso', 'producto']",[0. 0. 0. ... 0. 0. 0.]
"Perfecto tamaño para llevarlo a todas partes, el bloqueador es liquido y ligero!","['perfecto', 'tamaño', 'llevarlo', 'todas', 'partes', 'bloqueador', 'liquido', 'ligero']",[0. 0. 0. ... 0. 0. 0.]
"Increíble producto, ¡absolutamente recomendado! Cumplió ampliamente con mis expectativas este verano y sin lugar a dudas es un producto que llevaré conmigo en todas mis actividades cotidianas. En síntesis: un acierto este gran producto de La roche Posay","['increíble', 'producto', 'absolutamente', 'recomendado', 'cumplió', 'ampliamente', 'expectativas', 'verano', 'lugar', 'dudas', 'producto', 'llevaré', 'conmigo', 'todas', 'actividades', 'cotidianas', 'síntesis', 'acierto', 'gran', 'producto', 'roche', 'posay']",[0. 0. 0. ... 0. 0. 0.]
"Un protector facial muy ligero y que no se sale con el sudor ni el agua. Lo he probado en la piscina y haciendo deporte y funciona increíble! Además de que tiene un acabado no graso y es muy fluido. Increíble, 100% recomendado.","['protector', 'facial', 'ligero', 'sale', 'sudor', 'agua', 'probado', 'piscina', 'haciendo', 'deporte', 'funciona', 'increíble', 'además', 'acabado', 'graso', 'fluido', 'increíble', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"Buenisimo este bloqueador, cumple 100% con mis expectativas. Anthelios es una de las mejores lineas que tiene La Roche Posay, no deja sensación oleosa ni brillante, se absorbe rápido lo cual es perfecto para pieles grasa como la mía. Definitivamente compr","['buenisimo', 'bloqueador', 'cumple', 'expectativas', 'anthelios', 'mejores', 'lineas', 'roche', 'posay', 'deja', 'sensación', 'oleosa', 'brillante', 'absorbe', 'rápido', 'perfecto', 'pieles', 'grasa', 'definitivamente', 'compr']",[0. 0. 0. ... 0. 0. 0.]
"Tamaño muy práctico, textura ligera que ayuda a la absorción rápida del producto. Que sea sin aroma es maravilloso, lo uso hace años y lo recomiendo absolutamente.","['tamaño', 'práctico', 'textura', 'ligera', 'ayuda', 'absorción', 'rápida', 'producto', 'aroma', 'maravilloso', 'uso', 'hace', 'años', 'recomiendo', 'absolutamente']",[0. 0. 0. ... 0. 0. 0.]
"Es maravilloso me acompaña siempre, su textura y como se adapta a mi tipo de piel es impagable","['maravilloso', 'acompaña', 'siempre', 'textura', 'adapta', 'tipo', 'piel', 'impagable']",[0. 0. 0. ... 0. 0. 0.]
Es demasiado rico y protege por harto rato.. si o si la vieja confiable para todos los veranos que vengan,"['demasiado', 'rico', 'protege', 'harto', 'rato', 'si', 'si', 'vieja', 'confiable', 'veranos', 'vengan']",[0. 0. 0. ... 0. 0. 0.]
"El bloqueador tiene una protección única! Con poca cantidad quedamos muy bien protegidos de los fuertes rayos de sol, a mi me ha funcionado mucho para evitar manchas en la piel","['bloqueador', 'protección', 'única', 'poca', 'cantidad', 'quedamos', 'bien', 'protegidos', 'fuertes', 'rayos', 'sol', 'funcionado', 'evitar', 'manchas', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Lejos el mejor protector solar que he usado! Amo su textura ligera, no es graso que es lo mejor, no deja la piel pegajosa además no sale con el agua, 10 de 10","['lejos', 'mejor', 'protector', 'solar', 'usado', 'amo', 'textura', 'ligera', 'graso', 'mejor', 'deja', 'piel', 'pegajosa', 'además', 'sale', 'agua']",[0. 0. 0. ... 0. 0. 0.]
"Lo recomiendo totalmente, es un excelente protector solar! Su textura es agradable y de fácil absorción, lo mejor es que es aprueba de agua y su tamaño es ideal para llevarlo a cualquier lugar","['recomiendo', 'totalmente', 'excelente', 'protector', 'solar', 'textura', 'agradable', 'fácil', 'absorción', 'mejor', 'aprueba', 'agua', 'tamaño', 'ideal', 'llevarlo', 'cualquier', 'lugar']",[0. 0. 0. ... 0. 0. 0.]
"Es muy cómodo de aplicar, ni se nota ya que no tiene ningun color ni olor, lo que lo hace increíble para aplicar en cualquier momento del verano, se absorbe rápidamente Es muy ligero y da una sensación suave e hidratante a la piel además de proteger demasiado del sol","['cómodo', 'aplicar', 'nota', 'ningun', 'color', 'olor', 'hace', 'increíble', 'aplicar', 'cualquier', 'momento', 'verano', 'absorbe', 'rápidamente', 'ligero', 'da', 'sensación', 'suave', 'hidratante', 'piel', 'además', 'proteger', 'demasiado', 'sol']",[0. 0. 0. ... 0. 0. 0.]
"Comence a usar este protector solar y quede sorprendida de la proteccion que entrega, lo ligera que es la textura y que no me irrita la piel, le doy 10/10.","['comence', 'usar', 'protector', 'solar', 'quede', 'sorprendida', 'proteccion', 'entrega', 'ligera', 'textura', 'irrita', 'piel', 'doy']",[0. 0. 0. ... 0. 0. 0.]
